CATEGORY,SUBCATEGORY,BRAND,PRODUCT DESCRIPTION,SERVICE DESCRIPTION,SERVICE CATEGORY,PRODUCT/SERVICE PART NUMBER, MSRP ,DIR Customer Discount % off MSRP, DIR Customer Price* ,AVERAGE BRAND DISCOUNT,Fortinet Discount Category,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAnalyzer-VM Support 24x7 FortiCare Contract (for 1-Unlimited GB/Day of Logs),Software Maintenance ,FC4-10-LV0VM-248-02-60," $32,812.50 ",15.00%," $28,099.80 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAuthenticator - VM License,N/A,N/A,FAC-VM-Base," $1,495.00 ",15.00%," $1,280.28 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiAuthenticator - VM License Adds 100 users to FortiAuthenticator-VM,N/A,N/A,FAC-VM-100-UG, $895.00 ,15.00%, $766.46 ,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,"FortiAuthenticator - VM License Adds 1,000 users to FortiAuthenticator-VM",N/A,N/A,FAC-VM-1000-UG," $2,695.00 ",15.00%," $2,307.93 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,"FortiAuthenticator - VM License Adds 10,000 users to FortiAuthenticator-VM",N/A,N/A,FAC-VM-10000-UG," $16,110.00 ",15.00%," $13,796.20 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,"FortiAuthenticator - VM License Adds 100,000 users to FortiAuthenticator-VM",N/A,N/A,FAC-VM-100000-UG," $112,770.00 ",15.00%," $96,573.41 ",,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 500 USERS),Software Maintenance ,FC1-10-0ACVM-248-02-12, $299.00 ,15.00%, $256.06 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 500 USERS),Software Maintenance ,FC1-10-0ACVM-248-02-36, $784.88 ,15.00%, $672.15 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 500 USERS),Software Maintenance ,FC1-10-0ACVM-248-02-60," $1,308.13 ",15.00%," $1,120.25 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 1100 USERS),Software Maintenance ,FC2-10-0ACVM-248-02-12, $539.00 ,15.00%, $461.59 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 1100 USERS),Software Maintenance ,FC2-10-0ACVM-248-02-36," $1,414.88 ",15.00%," $1,211.67 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 1100 USERS),Software Maintenance ,FC2-10-0ACVM-248-02-60," $2,358.13 ",15.00%," $2,019.44 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 5100 USERS),Software Maintenance ,FC3-10-0ACVM-248-02-12," $1,611.00 ",15.00%," $1,379.62 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 5100 USERS),Software Maintenance ,FC3-10-0ACVM-248-02-36," $4,228.88 ",15.00%," $3,621.51 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 5100 USERS),Software Maintenance ,FC3-10-0ACVM-248-02-60," $7,048.13 ",15.00%," $6,035.84 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 10100 USERS),Software Maintenance ,FC4-10-0ACVM-248-02-12," $3,222.00 ",15.00%," $2,759.24 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
